instance,tsp,cities,items,type,capacity,best,algo,S1,S2,S3,S4,S5,C1,C2,C3,C4,C5,C6,MATLS,DH,M3,M4,M3B,M4B,RLS,EA,SH,NDSBRKGA,WSM,JK17,JC17,MY17,WC17,HLS,CS2SA*,CS2SA-R,JNB,J2B,MEA2P,COCO,COCOP,COCOL
eil51_n50_bounded-strongly-corr_01,eil51,51,1,bsc,1,4269.0,"M4,M3B,M4B,MEA2P",3840.452068,3837.00727,3844.234524,3840.452068,3840.452068,3796.658079,3840.452068,3840.452068,3840.452068,3840.452068,3844.234524,3938.79,2989.81,4221.207835,4269.356191,4269.213352,4269.356191,2077.444528,3668.755608,2989.81,4059.90031,4206.55095,-inf,4147.23739720437,4217.30370030902,-inf,3841.0,-inf,-inf,-inf,-inf,4269.0,-inf,-inf,-inf
eil51_n50_bounded-strongly-corr_02,eil51,51,1,bsc,2,5571.0,"M4B,MEA2P",5075.717486,5075.717486,4667.57205,5079.6718,5079.6718,4634.446246,5079.6718,5079.6718,5079.6718,5079.6718,5082.959564,5207.61,2591.95,5501.605527,5545.686294,5501.605527,5571.162769,3922.002818,5075.717486,2444.03,5464.437,5116.3497,-inf,5514.78809666223,5224.27976173246,-inf,-inf,-inf,-inf,-inf,-inf,5571.0,-inf,-inf,-inf
eil51_n50_bounded-strongly-corr_03,eil51,51,1,bsc,3,5885.0,"M4B,MEA2P",5100.599524,4213.837347,4213.837347,5104.18926,5104.18926,4213.837347,5104.18926,5104.18926,5104.18926,5104.18926,5104.18926,5307.14,3874.91,5676.968073,5841.083701,5676.968073,5884.508178,4383.086314,4918.130531,3874.91,5728.53418,5104.18933,-inf,5868.12673598148,4815.66135584604,-inf,-inf,-inf,-inf,-inf,-inf,5885.0,-inf,-inf,-inf
eil51_n50_bounded-strongly-corr_04,eil51,51,1,bsc,4,6397.0,JC17,5531.322971,4115.148028,4115.148028,5531.322971,5531.322971,4115.148028,5531.322971,5531.322971,5531.322971,5531.322971,5531.322971,6198.36,4538.01,6310.37499,6310.37499,6310.37499,6310.37499,5037.272772,5527.593312,4238.3,6081.1376199999995,5531.32288,-inf,6396.85436676473,5166.66019295954,-inf,-inf,-inf,-inf,-inf,-inf,6386.0,-inf,-inf,-inf
eil51_n50_bounded-strongly-corr_05,eil51,51,1,bsc,5,5138.0,"NDSBRKGA,JC17,MEA2P",3924.920894,2266.464335,2266.464335,3924.920894,3924.920894,3924.920894,3924.920894,3924.920894,3924.920894,3924.920894,3924.920894,4503.72,3442.55,4906.44208,4906.44208,4906.44208,4906.44208,3918.217833,3919.749218,1850.8,5138.38859,3924.92089,-inf,5138.38852170475,3648.66167286874,-inf,-inf,-inf,-inf,-inf,-inf,5138.0,-inf,-inf,-inf
eil51_n50_bounded-strongly-corr_06,eil51,51,1,bsc,6,7114.0,JC17,3905.87816,3908.657808,3955.341019,5899.238413,5899.238413,5899.238413,5899.238413,5899.238413,5899.238413,5899.238413,5899.238413,6316.89,5395.81,6927.796208,7018.870988,6927.796208,7083.262881,5497.043251,5701.192929,3835.5,6432.3628,5899.23832,-inf,7113.71623171659,5436.54719407416,-inf,-inf,-inf,-inf,6649.0,6773.0,7113.0,-inf,-inf,-inf
eil51_n50_bounded-strongly-corr_07,eil51,51,1,bsc,7,8450.0,"JC17,MEA2P",4946.292347,4949.115099,4949.115099,7123.387235,7123.387235,7123.387235,7123.387235,7123.387235,7123.387235,7123.387235,7123.387235,8021.74,6854.05,8238.837818,8129.308693,8239.979075,8232.044106,7103.42225,7120.107006,4216.11,7785.07985,7123.38722,-inf,8450.16857090711,7565.49917654333,-inf,-inf,-inf,-inf,-inf,-inf,8450.0,-inf,-inf,-inf
eil51_n50_bounded-strongly-corr_08,eil51,51,1,bsc,8,7342.0,"JC17,MEA2P",3649.755027,5954.563914,3652.566167,5979.865341,5979.865341,5979.865341,5979.865341,5979.865341,5979.865341,5979.865341,5979.865341,6717.3,5787.09,7059.065983,7059.065983,7059.065983,7059.065983,5977.822634,5979.865341,1163.07,6759.94126,5979.86545,-inf,7341.73876842127,6675.85541873063,-inf,-inf,-inf,-inf,-inf,-inf,7342.0,-inf,-inf,-inf
eil51_n50_bounded-strongly-corr_09,eil51,51,1,bsc,9,6821.0,JC17,3088.296159,3091.158949,3091.158949,5576.111609,5576.111609,4072.107979,5576.111609,5576.111609,5576.111609,5576.111609,5576.111609,6398.09,5179.16,6756.495086,6774.734735,6756.495086,6756.495086,5576.111609,5576.111609,-1689.47,6802.30128,6156.31845,-inf,6821.00143169911,6097.26380601374,-inf,-inf,-inf,-inf,-inf,-inf,6820.0,-inf,-inf,-inf
eil51_n50_bounded-strongly-corr_10,eil51,51,1,bsc,10,11750.0,J2B,6994.780071,6997.498114,6997.498114,9613.049406,9613.049406,9613.049406,9613.049406,9613.049406,9613.049406,9613.049406,9613.049406,10563.0,9045.59,11000.25103,11000.25103,11000.25103,11000.25103,9574.449142,9613.049406,3081.95,11110.13595,10616.31002,-inf,11136.1308915655,10616.3098035619,-inf,-inf,-inf,-inf,11439.0,11750.0,11134.0,-inf,-inf,-inf
