instance,JNB,J2B
eil51_n50_uncorr_06,4744,4604
berlin52_n51_uncorr_06,5342,5342
eil76_n75_uncorr_06,8286,8519
kroA100_n99_uncorr_06,10468,10509
pr124_n123_uncorr_06,15378,15360
ch150_n149_uncorr_06,15201,15929
u159_n158_uncorr_06,20565,20565
kroA200_n199_uncorr_06,22889,22889
ts225_n224_uncorr_06,26873,27025
a280_n279_uncorr_06,36865,36656
lin318_n317_uncorr_06,26479,31058
u574_n573_uncorr_06,68361,68361
u724_n723_uncorr_06,86828,86786
dsj1000_n999_uncorr_06,81296,81296
rl1304_n1303_uncorr_06,46608,144970
eil51_n50_uncorr_10,7481,7446
berlin52_n51_uncorr_10,8030,8030
eil76_n75_uncorr_10,11196,11196
kroA100_n99_uncorr_10,15017,15017
pr124_n123_uncorr_10,17358,19915
ch150_n149_uncorr_10,20670,21343
u159_n158_uncorr_10,24918,24918
kroA200_n199_uncorr_10,28404,28408
ts225_n224_uncorr_10,31612,31721
a280_n279_uncorr_10,42288,35547
lin318_n317_uncorr_10,37764,41489
u574_n573_uncorr_10,89499,89497
u724_n723_uncorr_10,111158,110995
dsj1000_n999_uncorr_10,157383,157383
rl1304_n1303_uncorr_10,203860,200213
eil51_n50_uncorr-similar-weights_06,2929,2929
berlin52_n51_uncorr-similar-weights_06,3856,3856
eil76_n75_uncorr-similar-weights_06,3993,3993
kroA100_n99_uncorr-similar-weights_06,9481,9514
pr124_n123_uncorr-similar-weights_06,10733,12244
ch150_n149_uncorr-similar-weights_06,12590,13470
u159_n158_uncorr-similar-weights_06,15243,15243
kroA200_n199_uncorr-similar-weights_06,17358,18581
ts225_n224_uncorr-similar-weights_06,17210,17210
a280_n279_uncorr-similar-weights_06,23363,22896
lin318_n317_uncorr-similar-weights_06,16517,22122
u574_n573_uncorr-similar-weights_06,53711,53711
u724_n723_uncorr-similar-weights_06,61964,61934
dsj1000_n999_uncorr-similar-weights_06,47885,47885
rl1304_n1303_uncorr-similar-weights_06,119749,117341
eil51_n50_uncorr-similar-weights_10,6519,6519
berlin52_n51_uncorr-similar-weights_10,7297,7297
eil76_n75_uncorr-similar-weights_10,10315,10315
kroA100_n99_uncorr-similar-weights_10,13911,13926
pr124_n123_uncorr-similar-weights_10,15806,18941
ch150_n149_uncorr-similar-weights_10,19023,19023
u159_n158_uncorr-similar-weights_10,22803,22803
kroA200_n199_uncorr-similar-weights_10,25041,25041
ts225_n224_uncorr-similar-weights_10,30895,30895
a280_n279_uncorr-similar-weights_10,39859,29142
lin318_n317_uncorr-similar-weights_10,34057,36909
u574_n573_uncorr-similar-weights_10,81008,81008
u724_n723_uncorr-similar-weights_10,102892,102713
dsj1000_n999_uncorr-similar-weights_10,155635,155635
rl1304_n1303_uncorr-similar-weights_10,188811,185209
eil51_n50_bounded-strongly-corr_06,6649,6773
berlin52_n51_bounded-strongly-corr_06,7537,11896
eil76_n75_bounded-strongly-corr_06,12215,12215
kroA100_n99_bounded-strongly-corr_06,18652,18731
pr124_n123_bounded-strongly-corr_06,25081,25122
ch150_n149_bounded-strongly-corr_06,18721,19070
u159_n158_bounded-strongly-corr_06,34134,34134
kroA200_n199_bounded-strongly-corr_06,40746,40660
ts225_n224_bounded-strongly-corr_06,48556,48556
a280_n279_bounded-strongly-corr_06,46478,42780
lin318_n317_bounded-strongly-corr_06,37225,56344
u574_n573_bounded-strongly-corr_06,111935,111935
u724_n723_bounded-strongly-corr_06,133736,133038
dsj1000_n999_bounded-strongly-corr_06,332572,332544
rl1304_n1303_bounded-strongly-corr_06,263521,254820
eil51_n50_bounded-strongly-corr_10,11439,11750
berlin52_n51_bounded-strongly-corr_10,7993,13107
eil76_n75_bounded-strongly-corr_10,14862,14862
kroA100_n99_bounded-strongly-corr_10,20219,20219
pr124_n123_bounded-strongly-corr_10,27247,27277
ch150_n149_bounded-strongly-corr_10,18422,18422
u159_n158_bounded-strongly-corr_10,37448,39131
kroA200_n199_bounded-strongly-corr_10,38155,38179
ts225_n224_bounded-strongly-corr_10,51833,51833
a280_n279_bounded-strongly-corr_10,53828,58121
lin318_n317_bounded-strongly-corr_10,43371,56679
u574_n573_bounded-strongly-corr_10,136156,136156
u724_n723_bounded-strongly-corr_10,146040,144040
dsj1000_n999_bounded-strongly-corr_10,306279,306279
rl1304_n1303_bounded-strongly-corr_10,282758,268560
eil51_n500_uncorr_06,55061,54986
berlin52_n510_uncorr_06,67690,67690
eil76_n750_uncorr_06,78400,78400
kroA100_n990_uncorr_06,115983,118105
pr124_n1230_uncorr_06,139648,143382
ch150_n1490_uncorr_06,131701,126730
u159_n1580_uncorr_06,188404,178250
kroA200_n1990_uncorr_06,226805,227358
ts225_n2240_uncorr_06,262014,139575
a280_n2790_uncorr_06,70435,12371
lin318_n3170_uncorr_06,258410,125336
u574_n5730_uncorr_06,693160,692634
u724_n7230_uncorr_06,810622,790940
dsj1000_n9990_uncorr_06,1190676,1190177
rl1304_n13030_uncorr_06,115490,1117255
eil51_n500_uncorr_10,73734,73763
berlin52_n510_uncorr_10,86543,86543
eil76_n750_uncorr_10,107858,107858
kroA100_n990_uncorr_10,150959,156239
pr124_n1230_uncorr_10,180553,186667
ch150_n1490_uncorr_10,194376,188093
u159_n1580_uncorr_10,242539,222626
kroA200_n1990_uncorr_10,296686,297184
ts225_n2240_uncorr_10,339645,186545
a280_n2790_uncorr_10,330510,27373
lin318_n3170_uncorr_10,371790,-14516
u574_n5730_uncorr_10,937133,936234
u724_n7230_uncorr_10,1045846,1025704
dsj1000_n9990_uncorr_10,1459170,1458413
rl1304_n13030_uncorr_10,1558021,1514964
eil51_n500_uncorr-similar-weights_06,40851,41248
berlin52_n510_uncorr-similar-weights_06,46998,46998
eil76_n750_uncorr-similar-weights_06,63035,63035
kroA100_n990_uncorr-similar-weights_06,88561,93555
pr124_n1230_uncorr-similar-weights_06,103652,23640
ch150_n1490_uncorr-similar-weights_06,96605,90455
u159_n1580_uncorr-similar-weights_06,129279,77204
kroA200_n1990_uncorr-similar-weights_06,176746,177166
ts225_n2240_uncorr-similar-weights_06,186519,-156846
