instance,HLS
a280_n279_bounded-strongly-corr_02,32157
berlin52_n51_bounded-strongly-corr_02,5789
bier127_n126_bounded-strongly-corr_01,5216
brd14051_n14050_bounded-strongly-corr_02,1502300
ch130_n129_bounded-strongly-corr_01,9262
ch150_n149_bounded-strongly-corr_04,21233
d2103_n2102_bounded-strongly-corr_01,116677
d15112_n15111_bounded-strongly-corr_01,911388
d18512_n18511_bounded-strongly-corr_01,1053165
dsj1000_n999_bounded-strongly-corr_01,137724
eil51_n50_bounded-strongly-corr_01,3841
eil76_n75_bounded-strongly-corr_02,5648
fl1577_n1576_bounded-strongly-corr_01,88519
fnl4461_n4460_bounded-strongly-corr_01,257684
kroA100_n99_bounded-strongly-corr_01,4321
kroA200_n199_bounded-strongly-corr_01,9648
lin318_n317_bounded-strongly-corr_01,14025
pcb3038_n3037_bounded-strongly-corr_01,153615
pla7397_n7396_bounded-strongly-corr_01,321361
pla33810_n33809_bounded-strongly-corr_01,1702492
pr124_n123_bounded-strongly-corr_01,7433
rl11849_n11848_bounded-strongly-corr_01,683402
rl1304_n1303_bounded-strongly-corr_01,77078
ts225_n224_bounded-strongly-corr_05,43243
u159_n158_bounded-strongly-corr_02,15143
u574_n573_bounded-strongly-corr_02,48071
u724_n723_bounded-strongly-corr_02,69709
usa13509_n13508_bounded-strongly-corr_01,742225
a280_n1395_uncorr-similar-weights_01,37283
berlin52_n255_uncorr-similar-weights_02,13550
bier127_n630_uncorr-similar-weights_01,22232
brd14051_n70250_uncorr-similar-weights_01,2421320
ch130_n645_uncorr-similar-weights_01,21931
ch150_n745_uncorr-similar-weights_01,19682
d2103_n10510_uncorr-similar-weights_01,298527
d15112_n75555_uncorr-similar-weights_01,2513037
d18512_n92555_uncorr-similar-weights_01,2980263
dsj1000_n4995_uncorr-similar-weights_01,140228
eil51_n250_uncorr-similar-weights_01,5410
eil76_n375_uncorr-similar-weights_01,9630
fl1577_n7880_uncorr-similar-weights_01,242721
fnl4461_n22300_uncorr-similar-weights_01,706454
kroA100_n495_uncorr-similar-weights_01,12052
kroA200_n995_uncorr-similar-weights_01,33757
lin318_n1585_bounded-strongly-corr_01,77541
pcb3038_n15185_uncorr-similar-weights_01,513089
pla7397_n36980_uncorr-similar-weights_01,1039157
pla33810_n169045_uncorr-similar-weights_01,5936408
pr124_n615_uncorr-similar-weights_01,20641
rl11849_n59240_uncorr-similar-weights_01,1929624
rl1304_n6515_uncorr-similar-weights_01,218950
ts225_n1120_uncorr-similar-weights_01,35235
u159_n790_uncorr-similar-weights_01,24209
u574_n2865_uncorr-similar-weights_01,101480
u724_n3615_uncorr-similar-weights_01,112719
usa13509_n67540_uncorr-similar-weights_01,2380024
a280_n2790_uncorr_01,100800
berlin52_n510_uncorr_01,30204
bier127_n1260_uncorr_01,53476
brd14051_n140500_uncorr_01,6799618
ch130_n1290_uncorr_04,129065
ch150_n1490_uncorr_01,72257
d2103_n21020_uncorr_01,1136320
d15112_n151110_uncorr_02,12199219
d18512_n185110_uncorr_01,10048678
dsj1000_n9990_uncorr_01,503440
eil51_n500_uncorr_01,19484
eil76_n750_uncorr_01,35947
fl1577_n15760_uncorr_01,616099
fnl4461_n4460_uncorr_02,330552
kroA100_n990_uncorr_01,29888
kroA200_n1990_uncorr_02,115144
lin318_n3170_uncorr_01,164427
pcb3038_n30370_uncorr_01,1119380
pla7397_n73960_uncorr_01,5074983
pla33810_n338090_uncorr_01,20406279
pr124_n1230_uncorr_01,64747
rl11849_n118480_uncorr_01,6607124
rl1304_n13030_uncorr_01,757380
tsp225_n2240_uncorr_02,125297
u159_n1580_uncorr_03,134013
u574_n5730_uncorr_01,337936
u724_n7230_uncorr_01,386856
usa13509_n135080_uncorr_01,9306518
eil76_n75_bounded-strongly-corr_01,3132
u159_n158_bounded-strongly-corr_01,8634
a280_n279_bounded-strongly-corr_01,18200
u574_n573_bounded-strongly-corr_01,24029
u724_n723_bounded-strongly-corr_01,49372
brd14051_n14050_bounded-strongly-corr_01,875018
