instance,COCO
eil76_n75_bounded-strongly-corr_01,4109
kroA100_n99_bounded-strongly-corr_01,4827
ch130_n129_bounded-strongly-corr_01,9564
u159_n158_bounded-strongly-corr_01,8820
a280_n279_bounded-strongly-corr_01,18636
u574_n573_bounded-strongly-corr_01,27367
u724_n723_bounded-strongly-corr_01,51124
dsj1000_n999_bounded-strongly-corr_01,144219
rl1304_n1303_bounded-strongly-corr_01,81769
fl1577_n1576_bounded-strongly-corr_01,93030
d2103_n2102_bounded-strongly-corr_01,121977
pcb3038_n3037_bounded-strongly-corr_01,161456
fnl4461_n4460_bounded-strongly-corr_01,264332
pla7397_n7396_bounded-strongly-corr_01,399349
rl11849_n11848_bounded-strongly-corr_01,714396
usa13509_n13508_bounded-strongly-corr_01,813324
brd14051_n14050_bounded-strongly-corr_01,881904
d15112_n15111_bounded-strongly-corr_01,967701
d18512_n18511_bounded-strongly-corr_01,1079883
pla33810_n33809_bounded-strongly-corr_01,1917177
eil76_n375_uncorr-similar-weights_05,22240
kroA100_n495_uncorr-similar-weights_05,45139
ch130_n645_uncorr-similar-weights_05,61702
u159_n790_uncorr-similar-weights_05,60897
a280_n1395_uncorr-similar-weights_05,116457
u574_n2865_uncorr-similar-weights_05,260062
u724_n3615_uncorr-similar-weights_05,322133
dsj1000_n4995_uncorr-similar-weights_05,370435
rl1304_n6515_uncorr-similar-weights_05,598610
fl1577_n7880_uncorr-similar-weights_05,635696
d2103_n10510_uncorr-similar-weights_05,925808
pcb3038_n15185_uncorr-similar-weights_05,1204897
fnl4461_n22300_uncorr-similar-weights_05,1646520
pla7397_n36980_uncorr-similar-weights_05,4470928
rl11849_n59240_uncorr-similar-weights_05,4780661
usa13509_n67540_uncorr-similar-weights_05,8254572
brd14051_n70250_uncorr-similar-weights_05,6816674
d15112_n75555_uncorr-similar-weights_05,7714270
d18512_n92555_uncorr-similar-weights_05,7467890
pla33810_n169045_uncorr-similar-weights_05,16172664
eil76_n750_uncorr_10,87249
kroA100_n990_uncorr_10,157712
ch130_n1290_uncorr_10,206851
u159_n1580_uncorr_10,248627
a280_n2790_uncorr_10,429138
u574_n5730_uncorr_10,969666
u724_n7230_uncorr_10,1204366
dsj1000_n9990_uncorr_10,1495584
rl1304_n13030_uncorr_10,2212260
fl1577_n15760_uncorr_10,2491120
d2103_n21020_uncorr_10,3493856
pcb3038_n30370_uncorr_10,4596155
fnl4461_n44600_uncorr_10,6569715
pla7397_n73960_uncorr_10,14496916
rl11849_n118480_uncorr_10,18512214
usa13509_n135080_uncorr_10,26572209
brd14051_n140500_uncorr_10,24188367
d15112_n151110_uncorr_10,27437349
d18512_n185110_uncorr_10,27690630
pla33810_n338090_uncorr_10,58744246
