instance,COCOP,COCOL
eil76_n75_bounded-strongly-corr_01,4109,4109
kroA100_n99_bounded-strongly-corr_01,4783,4746
ch130_n129_bounded-strongly-corr_01,9564,9560
u159_n158_bounded-strongly-corr_01,8763,8792
a280_n279_bounded-strongly-corr_01,18556,18437
u574_n573_bounded-strongly-corr_01,27383,27915
u724_n723_bounded-strongly-corr_01,51109,51128
dsj1000_n999_bounded-strongly-corr_01,144219,144219
rl1304_n1303_bounded-strongly-corr_01,81764,81411
fl1577_n1576_bounded-strongly-corr_01,93571,93585
d2103_n2102_bounded-strongly-corr_01,121863,121777
pcb3038_n3037_bounded-strongly-corr_01,161322,161540
fnl4461_n4460_bounded-strongly-corr_01,264383,263047
pla7397_n7396_bounded-strongly-corr_01,398131,396938
rl11849_n11848_bounded-strongly-corr_01,714405,711001
usa13509_n13508_bounded-strongly-corr_01,809100,807049
brd14051_n14050_bounded-strongly-corr_01,879175,880860
d15112_n15111_bounded-strongly-corr_01,962704,968380
d18512_n18511_bounded-strongly-corr_01,1082018,1076736
pla33810_n33809_bounded-strongly-corr_01,1912398,1913334
eil76_n375_uncorr-similar-weights_05,22312,22443
kroA100_n495_uncorr-similar-weights_05,45812,45812
ch130_n645_uncorr-similar-weights_05,61703,61698
u159_n790_uncorr-similar-weights_05,60718,60920
a280_n1395_uncorr-similar-weights_05,116455,116446
u574_n2865_uncorr-similar-weights_05,259990,260393
u724_n3615_uncorr-similar-weights_05,321128,319219
dsj1000_n4995_uncorr-similar-weights_05,369395,370866
rl1304_n6515_uncorr-similar-weights_05,599321,598310
fl1577_n7880_uncorr-similar-weights_05,627094,626674
d2103_n10510_uncorr-similar-weights_05,923371,923098
pcb3038_n15185_uncorr-similar-weights_05,1201762,1199959
fnl4461_n22300_uncorr-similar-weights_05,1648718,1643725
pla7397_n36980_uncorr-similar-weights_05,4475452,4445034
rl11849_n59240_uncorr-similar-weights_05,4786319,4732950
usa13509_n67540_uncorr-similar-weights_05,8226438,8142993
brd14051_n70250_uncorr-similar-weights_05,6759473,6768365
d15112_n75555_uncorr-similar-weights_05,7710754,7732018
d18512_n92555_uncorr-similar-weights_05,7490813,7394360
pla33810_n169045_uncorr-similar-weights_05,16230647,16034864
eil76_n750_uncorr_10,87806,87629
kroA100_n990_uncorr_10,158777,158279
ch130_n1290_uncorr_10,207159,207159
u159_n1580_uncorr_10,248508,248351
a280_n2790_uncorr_10,429138,429099
u574_n5730_uncorr_10,969705,968371
u724_n7230_uncorr_10,1203516,1206366
dsj1000_n9990_uncorr_10,1495041,1492045
rl1304_n13030_uncorr_10,2213935,2210598
fl1577_n15760_uncorr_10,2485371,2483177
d2103_n21020_uncorr_10,3496222,3482613
pcb3038_n30370_uncorr_10,4597719,4583180
fnl4461_n44600_uncorr_10,6572527,6568717
pla7397_n73960_uncorr_10,14520941,14382473
rl11849_n118480_uncorr_10,18355212,18415752
usa13509_n135080_uncorr_10,26375964,26537543
brd14051_n140500_uncorr_10,24196359,24073026
d15112_n151110_uncorr_10,27424573,27461281
d18512_n185110_uncorr_10,27833906,27524914
pla33810_n338090_uncorr_10,58689650,58418340
