instance,MEA2P
a280_n279_bounded-strongly-corr_01,19410
a280_n279_bounded-strongly-corr_02,32562
a280_n279_bounded-strongly-corr_03,41270
a280_n279_bounded-strongly-corr_04,49850
a280_n279_bounded-strongly-corr_05,57413
a280_n279_bounded-strongly-corr_06,51374
a280_n279_bounded-strongly-corr_07,59084
a280_n279_bounded-strongly-corr_08,57270
a280_n279_bounded-strongly-corr_09,63596
a280_n279_bounded-strongly-corr_10,63248
a280_n279_uncorr_01,20346
a280_n279_uncorr_02,28665
a280_n279_uncorr_03,34631
a280_n279_uncorr_04,35340
a280_n279_uncorr_05,34051
a280_n279_uncorr_06,38560
a280_n279_uncorr_07,38155
a280_n279_uncorr_08,40810
a280_n279_uncorr_09,41452
a280_n279_uncorr_10,42852
a280_n279_uncorr-similar-weights_01,9940
a280_n279_uncorr-similar-weights_02,14101
a280_n279_uncorr-similar-weights_03,18877
a280_n279_uncorr-similar-weights_04,20738
a280_n279_uncorr-similar-weights_05,23846
a280_n279_uncorr-similar-weights_06,26296
a280_n279_uncorr-similar-weights_07,27625
a280_n279_uncorr-similar-weights_08,29810
a280_n279_uncorr-similar-weights_09,36502
a280_n279_uncorr-similar-weights_10,41434
berlin52_n51_bounded-strongly-corr_01,4455
berlin52_n51_bounded-strongly-corr_02,7149
berlin52_n51_bounded-strongly-corr_03,7905
berlin52_n51_bounded-strongly-corr_04,10894
berlin52_n51_bounded-strongly-corr_05,14244
berlin52_n51_bounded-strongly-corr_06,13890
berlin52_n51_bounded-strongly-corr_07,16876
berlin52_n51_bounded-strongly-corr_08,17096
berlin52_n51_bounded-strongly-corr_09,19563
berlin52_n51_bounded-strongly-corr_10,16672
berlin52_n51_uncorr_01,3111
berlin52_n51_uncorr_02,4496
berlin52_n51_uncorr_03,6317
berlin52_n51_uncorr_04,6008
berlin52_n51_uncorr_05,6459
berlin52_n51_uncorr_06,7704
berlin52_n51_uncorr_07,8647
berlin52_n51_uncorr_08,9351
berlin52_n51_uncorr_09,9847
berlin52_n51_uncorr_10,9649
berlin52_n51_uncorr-similar-weights_01,1656
berlin52_n51_uncorr-similar-weights_02,3813
berlin52_n51_uncorr-similar-weights_03,5128
berlin52_n51_uncorr-similar-weights_04,5198
berlin52_n51_uncorr-similar-weights_05,6750
berlin52_n51_uncorr-similar-weights_06,6673
berlin52_n51_uncorr-similar-weights_07,7464
berlin52_n51_uncorr-similar-weights_08,9110
berlin52_n51_uncorr-similar-weights_09,8854
berlin52_n51_uncorr-similar-weights_10,9088
bier127_n126_bounded-strongly-corr_01,6029
bier127_n126_bounded-strongly-corr_02,13467
bier127_n126_bounded-strongly-corr_03,16802
bier127_n126_bounded-strongly-corr_04,23639
bier127_n126_bounded-strongly-corr_05,25486
bier127_n126_bounded-strongly-corr_06,28113
bier127_n126_bounded-strongly-corr_07,34788
bier127_n126_bounded-strongly-corr_08,40496
